intervention_type,magnitude,hmm_percentage,wait_percentage,combined_percentage
backtracking,0,0.45603695371959396,0.22262939007743632,0.6786663437970303
backtracking,1,0.6380610917981804,0.1723899196898366,0.810451011488017
backtracking,2,0.712326318019552,0.23856082894984496,0.950887146969397
backtracking,4,0.6694046784348223,0.9223996411080881,1.5918043195429106
backtracking,6,1.1388406125398731,4.07790673507923,5.216747347619103
backtracking,8,1.6024481924296232,13.489172492214303,15.091620684643926
backtracking,10,1.524923701875116,26.317437210990228,27.842360912865345
backtracking,12,5.118961108247195,31.018069442501975,36.137030550749174
backtracking,14,5.154079754547814,29.781664437812786,34.9357441923606
backtracking,16,9.637090664247369,13.623857747435256,23.260948411682627
backtracking,20,0.0,0.0,0.0
backtracking,25,0.0,0.0,0.0
deduction,0,0.45603695371959396,0.22262939007743632,0.6786663437970303
deduction,1,0.5278957741560115,0.0,0.5278957741560115
deduction,2,0.5897444414917177,0.10416666666666666,0.6939111081583843
deduction,4,0.3450143511618921,0.18297731412485513,0.5279916652867472
deduction,6,0.1611875637104995,0.23063200815494395,0.3918195718654435
deduction,8,0.0,0.26785714285714285,0.26785714285714285
deduction,10,0.0,0.0,0.0
deduction,12,0.0,0.0,0.0
deduction,14,0.0,0.0,0.0
deduction,16,0.0,0.0,0.0
deduction,20,0.0,0.0,0.0
deduction,25,0.0,0.0,0.0
initializing,0,0.45603695371959396,0.22262939007743632,0.6786663437970303
initializing,1,0.5216339321965198,0.0,0.5216339321965198
initializing,2,0.6968953913865338,0.29577282177021197,0.9926682131567457
initializing,4,0.8992052651052743,0.21749136939010358,1.116696634495378
initializing,6,0.9195470105762868,0.8169845354178881,1.736531545994175
initializing,8,0.09259259259259259,0.18518518518518517,0.2777777777777778
initializing,10,0.0,0.2272727272727273,0.2272727272727273
initializing,12,0.0,0.0,0.0
initializing,14,0.0,0.11904761904761904,0.11904761904761904
initializing,16,0.0,0.0,0.0
initializing,20,0.0,0.0,0.0
initializing,25,0.0,0.0,0.0
noise,0,0.45603695371959396,0.22262939007743632,0.6786663437970303
noise,1,0.7737237178384386,0.14401518562608323,0.9177389034645218
noise,2,0.7620501043495802,0.08483705898195529,0.8468871633315355
noise,4,0.6868239608710911,0.07511198514148368,0.7619359460125747
noise,6,0.7759425933812099,0.11678158373254321,0.8927241771137531
noise,8,0.6977356898274566,0.2584231463918566,0.9561588362193132
noise,10,0.8002155122977701,0.8446636299855321,1.6448791422833022
noise,12,0.922664669944783,1.6940195128933673,2.61668418283815
noise,14,1.2530548776963595,2.318913206335397,3.5719680840317567
noise,16,0.8096345027070443,2.089279110068515,2.8989136127755595
noise,20,0.9611288734647939,3.064154505611003,4.025283379075797
noise,25,0.09526819577388478,0.6774004793787064,0.7726686751525912
overall_mean,0,0.45603695371959396,0.22262939007743632,0.6786663437970303
overall_mean,1,0.46391275034181156,0.08928571428571427,0.5531984646275259
overall_mean,2,0.8241002104118703,0.08333333333333334,0.9074335437452037
overall_mean,4,0.489868267557542,0.2731341548477098,0.7630024224052518
overall_mean,6,0.6817318679037843,0.6741645775516723,1.3558964454554565
overall_mean,8,0.3758222323463475,0.4196753434236039,0.7954975757699514
overall_mean,10,0.2336231884057971,0.0,0.2336231884057971
overall_mean,12,0.0,0.0,0.0
overall_mean,14,0.0,0.0,0.0
overall_mean,16,0.0,0.0,0.0
overall_mean,20,0.0,0.0,0.0
overall_mean,25,0.0,0.0,0.0
self,0,0.45603695371959396,0.22262939007743632,0.6786663437970303
self,1,0.6925404873657686,0.09345794392523363,0.7859984312910022
self,2,0.8175575371862871,0.06493506493506493,0.882492602121352
self,4,0.5525549294800224,0.10638297872340426,0.6589379082034267
self,6,0.9334650698536893,0.2698921435120633,1.2033572133657526
self,8,0.7584179327440261,0.20503878854279406,0.9634567212868201
self,10,0.5678066102504843,0.5654094663241005,1.133216076574585
self,12,0.7561617701491347,0.18822151581060736,0.9443832859597421
self,14,0.540728217016271,0.5229936309481764,1.0637218479644475
self,16,0.3897010489672782,0.28406723655483856,0.6737682855221168
self,20,0.43205962642227036,0.43205962642227036,0.8641192528445407
self,25,0.41354458026735375,0.48653728099728066,0.9000818612646344
noise,0,0.45603695371959396,0.22262939007743632,0.6786663437970303
noise,1,0.7737237178384386,0.14401518562608323,0.9177389034645218
noise,2,0.7620501043495802,0.08483705898195529,0.8468871633315355
noise,4,0.6868239608710911,0.07511198514148368,0.7619359460125747
noise,6,0.7759425933812099,0.11678158373254321,0.8927241771137531
noise,8,0.6977356898274566,0.2584231463918566,0.9561588362193132
noise,10,0.8002155122977701,0.8446636299855321,1.6448791422833022
noise,12,0.922664669944783,1.6940195128933673,2.61668418283815
noise,14,1.2530548776963595,2.318913206335397,3.5719680840317567
noise,16,0.8096345027070443,2.089279110068515,2.8989136127755595
noise,20,0.9611288734647939,3.064154505611003,4.025283379075797
noise,25,0.09526819577388478,0.6774004793787064,0.7726686751525912
